region,listing_no,listing_title,point_name,point_type,latitude,longitude,os_grid_ref,access_notes,description,category
Lancashire & Yorkshire,9,"Elbolton Hill, Threshfield",Elbolton Hill,main,54.0494,-1.9897,SE007614,,"Near the summit of Elbolton Hill is a near-vertical shaft known as Navvy Noodle Hole that leads down to deep underground caverns. It is said to be an entrance to the land of Faerie, whose inhabitants have been seen dancing at night on the grassy flanks of the hill. One man who tried to join the dancing was pushed and jostled. Forced to leave, he grabbed one of the fairies and stashed it in his pocket but when he looked inside, the fairy had escaped. Another encountered a band of fairies and their queen, describing her voice as like the sound of a silver trumpet. He felt compelled to follow and the fairies enjoyed leading him astray until he became lost, but later released him from their spell. In the nearby village of Threshfield, the spring-fed pond known as Our Lady's Well is said to offer a refuge from supernatural beings. One night, a man chased by 'Pam the Fiddler and a host of imps' leapt into the pool to save himself. The well, which is also said to have healing properties, now lies in a private garden but can be visited (with permission). The immersion pool is surrounded by a low stone wall and an old tankard still hangs there on a chain. Calf Holes, a limestone cave on the far side of Threshfield near Skirethorns is another magical site where fairy pipes have reputedly been found.",hills
Lancashire & Yorkshire,9,"Elbolton Hill, Threshfield",Our Lady's Well,nearby_feature,54.0701,-2.0046,SD997637,private land; healing spring,"In the nearby village of Threshfield, the spring-fed pond known as Our Lady's Well is said to offer a refuge from supernatural beings. One night, a man chased by 'Pam the Fiddler and a host of imps' leapt into the pool to save himself. The well, which is also said to have healing properties, now lies in a private garden but can be visited (with permission).",wells
Lancashire & Yorkshire,9,"Elbolton Hill, Threshfield",Calf Holes,nearby_feature,54.0773,-2.0559,SD964645,private land; limestone cave,"Calf Holes, a limestone cave on the far side of Threshfield near Skirethorns is another magical site where fairy pipes have reputedly been found.",caves
Lancashire & Yorkshire,9,"Elbolton Hill, Threshfield",Trailhead,trailhead,54.0502,-1.9830,SE012615,500m,Trailhead / parking for Elbolton Hill (500m).,hills
Lancashire & Yorkshire,10,"Fairies' Hole, Crackpot",Fairies' Hole,main,54.3541,-2.0569,SD964953,,"Concealed behind a waterfall that cascades into a small pool, the Fairies' Hole is a crevice in the rock said to give access to the land of Faerie. The opening leads down to extensive caverns that are popular with cavers, although with names like Knee-Wrecker Passage these are not places for the inexperienced to explore. Fairies' Hole is now more commonly known as Crackpot Cavern but its old name hints at tales and legends now lost.",caves
Lancashire & Yorkshire,10,"Fairies' Hole, Crackpot",Trailhead,trailhead,54.3566,-2.0564,SD964956,350m,Trailhead / parking for Fairies' Hole (350m).,caves
Lancashire & Yorkshire,11,Harmby Fairy Well,Harmby Fairy Well,main,54.3027,-1.8106,SE124896,,"Emerging from beneath the boughs of twin hawthorns and an elder, the fresh spring water of Harmby Fairy Well cascades down over a jumble of stones and boulders into a field close to the village. The presence of hawthorns can indicate a fairy haunt in Celtic folklore, while elder is often associated with witches as well as fairies. The name Fairy Well goes back more than two centuries and people have reported seeing strange lights around the well in the twilight.",wells
Lancashire & Yorkshire,11,Harmby Fairy Well,Trailhead,trailhead,54.3021,-1.8057,SE127896,350m,Trailhead / parking for Harmby Fairy Well (350m).,wells
Lancashire & Yorkshire,12,"Janet's Foss, Malham",Janet's Foss,main,54.0657,-2.1370,SD911633,Popular,"As the water of this enchanted waterfall in the Yorkshire Dales deposited limestone-rich tufa, hidden chambers were created and it is in these caverns that the fairy queen Janet is said to dwell. Janet, Jeanie or Jenny is a common name for a fairy in the north of England and she is often associated with water (see Mulgrave Woods and Wharton Tarn). The entrance to Janet's tiny cave lies partially hidden behind the curtain of water on the upper right side of the fall. The waterfall drops down into a wide shallow pool bordered by lush vegetation. You can cross it via stepping stones that lead to another, much larger cave (not to be confused with the fairy queen's cave). Janet's Foss can be a popular destination in summer, but visit it out of season or at dawn and dusk and you cannot fail to be enchanted by this most magical of places.",natural water features
Lancashire & Yorkshire,13,"Trollers Gill, Skyreholme",Trollers Gill,main,54.0521,-1.8967,SE068617,,"This deep gorge with towering grey crags and trees clinging to the sides may have been named after the legendary troll inhabitants who threw rocks at anyone navigating the treacherous terrain below. The bottom of Troller's Gill is indeed strewn with boulders over which the Skyreholme Beck flows but only during the wettest periods; at other times the gorge is dry. Troller's Gill was also the scene of a terrifying encounter with a 'barghest', a fearsome spectral black dog said to be a death omen. A local man, determined to enter the gorge and slay the barghest, succeeded in raising the awful spirit, but was found dead the next day. In the tale, his mauled body is said to have borne wounds to the chest that could only have been made by the gigantic dog. In the daytime, Troller's Gill is popular with hikers, but tread warily if you enter there at night. The Skyreholme Beck eventually emerges further downstream and flows into the river Wharfe. A little further down the river, in a narrow gorge called The Strid, the Wharfe gushes through the enclosing rocks. According to local folklore, each year on Beltane morning the river goddess appears in the gorge, taking the form of a white horse. Her appearance is a sign that a sacrifice is due and a drowning in the river will soon follow.",wild places
Lancashire & Yorkshire,13,"Trollers Gill, Skyreholme",The Strid,nearby_feature,54.0044,-1.9049,SE063564,river gorge,"A little further down the river, in a narrow gorge called The Strid, the Wharfe gushes through the enclosing rocks. According to local folklore, each year on Beltane morning the river goddess appears in the gorge, taking the form of a white horse. Her appearance is a sign that a sacrifice is due and a drowning in the river will soon follow.",natural water features
Lancashire & Yorkshire,13,"Trollers Gill, Skyreholme",Trailhead (The Strid),trailhead,54.0032,-1.9119,SE058563,600m,Trailhead / parking for The Strid (600m).,natural water features
Lancashire & Yorkshire,13,"Trollers Gill, Skyreholme",Trailhead,trailhead,54.0445,-1.8976,SE068609,1km,Trailhead / parking for Trollers Gill (1km).,wild places
Lancashire & Yorkshire,14,"Devil's Arrows, Boroughbridge",Devil's Arrows,main,54.0932,-1.4037,SE390665,,"Three immense monoliths, survivors from the distant past, stand on arable land not far from the A1 motorway. Arranged in a straight line, two stand in a field while the third is tucked away in trees by the field boundary. The massive stones are weathered and furrowed towards the top, almost as if deliberately sharpened, and this gave rise to the belief they were bolts (or arrows) thrown at the town of Aldborough either by the Devil, or by an ill-tempered giant standing on How Hill near Fountains Abbey, over 11km to the west. The hill, now topped by an old chapel, may have been a site of ancient pagan significance. The Devil's Arrows fell short of their target but their position gives them the air of sentinels, watching over the land since ancient times and no doubt for centuries to come.",standing stones
Lancashire & Yorkshire,14,"Devil's Arrows, Boroughbridge",How Hill,nearby_feature,54.0985,-1.5795,SE275670,giant's vantage point,"The massive stones are weathered and furrowed towards the top, almost as if deliberately sharpened, and this gave rise to the belief they were bolts (or arrows) thrown at the town of Aldborough either by the Devil, or by an ill-tempered giant standing on How Hill near Fountains Abbey, over 11km to the west. The hill, now topped by an old chapel, may have been a site of ancient pagan significance.",hills
Lancashire & Yorkshire,14,"Devil's Arrows, Boroughbridge",Trailhead,trailhead,54.0928,-1.4025,SE391664,100m,Trailhead / parking for Devil's Arrows (100m).,standing stones
Lancashire & Yorkshire,15,"Mother Shipton's Cave & Dropping Well, Knaresborough",Mother Shipton's Cave & Dropping Well,main,54.0038,-1.4717,SE347565,££ Very Popular,"The prophesies of Mother Shipton have long been celebrated for their apparent veracity. She is said to have predicted many events including the arrival of the Spanish Armada, the English Civil War, and the Great Fire of London. Her birthplace, towards the end of the 15th century, and where she spent her days was this dank cave on the banks of the river Nidd. In later stories, her appearance was that of a stereotypical witch with a humped back and hooked nose that nearly reached her chin. A statue of Mother Shipton now stands inside her cave. Next to Mother Shipton's Cave is the famous Dropping Well, where mineral-rich water flows over a small cliff to form a curtain of smooth flowstone deposits. Dangling from it are a selection of modern objects that in a matter of weeks appear to turn to stone. Behind this curtain of flowstone there is a cave and at one end of it, clear water flows into a natural basin where people make wishes. On the opposite bank of the river are two of the oldest medieval cave shrines in the country. The first, St Robert's Cave is now dark, empty and abandoned but served as his hermitage and the layout of a small chapel in the rock outside the cave is still visible. The second is the shrine of Our Lady of the Crag which features a life-size effigy of a knight carved into the exterior rock next to an ornate window and doorway. The cave was said to have been hewn out of the rock by a stone mason in recognition and thanks for the divine intervention that resulted in his son surviving a huge rock fall. Unfortunately, the chapel is seldom open but the exterior can be admired from the peaceful garden.",caves
Lancashire & Yorkshire,15,"Mother Shipton's Cave & Dropping Well, Knaresborough",St Robert's Cave,nearby_feature,53.9996,-1.4508,SE360560,medieval cave shrine,"The first, St Robert's Cave is now dark, empty and abandoned but served as his hermitage and the layout of a small chapel in the rock outside the cave is still visible.",caves
Lancashire & Yorkshire,15,"Mother Shipton's Cave & Dropping Well, Knaresborough",Our Lady of the Crag,nearby_feature,54.0029,-1.4655,SE351564,medieval cave shrine,The second is the shrine of Our Lady of the Crag which features a life-size effigy of a knight carved into the exterior rock next to an ornate window and doorway. The cave was said to have been hewn out of the rock by a stone mason in recognition and thanks for the divine intervention that resulted in his son surviving a huge rock fall.,sacred buildings
Lancashire & Yorkshire,16,Rudston Monolith,Rudston Monolith,main,54.0939,-0.3226,TA098677,,"Towering over the surrounding gravestones in the village churchyard, the Rudston Monolith is the tallest standing stone in Britain at 7.6m. Local legend says the Devil threw the monolith at the church but it fell short and embedded itself in the ground. In fact, the stone stands in its original position and pre-dates the church by centuries. Rudston, the village's name may be derived from the Old English rood-stane meaning cross-stone, which suggests a crucifix may have been attached to the top of the monolith to Christianise this site of ancient pagan sanctity. Beneath the trees in a quiet corner of the churchyard lies a prehistoric stone-lined cist grave and a small standing stone, while the remains of several ancient earthworks lead towards the monolith, indicating its ancient significance. A number of ley lines are said to pass through or end at Rudston Monolith, connecting the site to other ancient and sacred places such as Willy Howe. The stone remains an impressive and ancient presence in the landscape.",standing stones
Lancashire & Yorkshire,17,"Willy Howe, Wold Newton",Willy Howe,main,54.1361,-0.3767,TA061723,Private Land,"Fairies are said to inhabit Willy Howe, a large prehistoric round barrow in the Yorkshire Wolds not far from Wold Newton village. A 12th-century chronicle tells of a man passing the barrow late one night who heard singing and the sounds of revelry coming from within. Moving closer, he saw a door in the side revealing a brightly lit room where a magnificent banquet was taking place. A fairy servant saw him peering in and passed him a goblet full of drink, but the man poured away the contents, aware that drinking it would have put him under the fairies spell. Pocketing the goblet, he fled from the banquet with the fairies in pursuit and escaped by leaping over the Gypsey Race stream, which the fairies could not cross. The goblet, curiously shaped and made of an unknown material in an unusual colour, was later presented to King Henry I. It passed into the hands of a number of English and Scottish kings before being lost. A chest of gold was reputedly buried within the mound, but any attempt to remove it would make it sink deeper – a legend that perhaps echoes the story of the treasure a fairy maiden once gave to a young man she had fallen in love with. He was permitted to take one gold coin from the barrow each day, so long as he never revealed its source. Inevitably he let slip his secret, was punished by the Willy Howe fairies and the gold disappeared forever. People said that if you ran around the barrow nine times and then pressed your ear to the mound, the sounds of fairy merriment could still be heard. The mound itself is now covered with trees and surrounded by private farmland but a public access lane passes right by the base.",burial chambers
Lancashire & Yorkshire,17,"Willy Howe, Wold Newton",Gypsey Race stream,nearby_feature,54.1379,-0.3746,TA062725,fairy-crossed stream,"Pocketing the goblet, he fled from the banquet with the fairies in pursuit and escaped by leaping over the Gypsey Race stream, which the fairies could not cross.",natural water features
Lancashire & Yorkshire,17,"Willy Howe, Wold Newton",Trailhead,trailhead,54.1378,-0.3738,TA063725,300m,Trailhead / parking for Willy Howe (300m).,burial chambers
Lancashire & Yorkshire,18,"Boggle Hole, Robin Hood's Bay",Boggle Hole,main,54.4225,-0.5291,NZ955040,Low Tide Only,"A small sea cave in the cliffs at Boggle Hole was once home to a boggle, a spirit of place much like a hob only more mischievous. When angered they are liable to harm people or damage their property. Boggle Hole is reached by a steep path leading down to a tiny inlet and beach. The cave itself is accessible from the beach only at low tide and once provided a convenient place for smugglers to stash their loot. Nearby, the Boggle Hole youth hostel has pictures and information boards about the boggle and his legendary cave.",caves
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Fairy Cross Plain,main,54.4358,-0.8981,NZ715050,,"Bounded by the river Esk to the north and the high moors to the south, the twin valleys of Great Fryup Dale and Little Fryup Dale are separated by a long ridge known as Danby Heads. At the southern tip of Danby Heads, where the two valleys merge, is a place steeped legend – Fairy Cross Plain, where the little folk would emerge from their underground tunnels to dance and where fairy rings were a common sight. These circles of wild fungi expand outwards over time, creating a dark ring of grass and also a ring of toadstools once the fruiting bodies emerge. Running around a fairy ring nine times in the light of the full moon would enable you to hear the fairies laughing and dancing in their halls below, but local children in Fryupdale were strongly advised against this or the fairies would gain power over them or even whisk them away to fairyland! Local people tended to avoid the rings altogether and it was even said that sheep and cattle would not graze near them. Sometimes, people saw the fairies, dressed in green and wearing a strange cap, disappearing into the earth of the Plain. One woman even found a fairy baby hidden in some hay but, separated from its fairy family, it soon sickened and died. At night people reported hearing the sound of fairies making their fairy 'butter', which they would enjoy flinging at houses and farm buildings. Households around the Butter Beck near Egton Grange to the east, were frequently targeted and woke to find the 'butter' – a type of fungus that grows overnight – stuck on fence-posts and other wooden structures. Fairy Cross Plain is located in an area of green pastures bounded by drystone walls. In the centre, where the two dales meet, a small rounded hill sometimes known as Fairy Hill lies halfway between the uplands of Danby Heads and Danby Rigg. The latter is crossed by an ancient path known as the Old Hellway that was used to transport corpses over Danby Rigg for burial in the churchyard at Danby. People report sensing the spirits of the dead on this old corpse road. The neighbouring valley of Glaisdale to the east is also the site of magical occurrences. The first concerns the Hob of Hart Hall a little fellow, covered in shaggy hair and wearing nothing more than a threadbare tunic, who helped out around the farm at night. When some boys spied on him and, taking pity made him a new tunic the hob was insulted and left, never to return. In the second story a hare was seen by a local farmer nibbling his saplings. Realising it was a witch in disguise, he loaded his gun with silver pellets then shot and wounded the hare which took refuge in the cottage of a witch, Awd Maggie. She was found the next day with unexplained wounds. The slopes at the head of Glaisdale became known as Witch Hill.",wild places
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Butter Beck,nearby_feature,54.4264,-0.7776,NZ794041,fairy butter site,"At night people reported hearing the sound of fairies making their fairy 'butter', which they would enjoy flinging at houses and farm buildings. Households around the Butter Beck near Egton Grange to the east, were frequently targeted and woke to find the 'butter' – a type of fungus that grows overnight – stuck on fence-posts and other wooden structures.",natural water features
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Trailhead (Butter Beck),trailhead,54.4304,-0.7802,NZ792045,550m,Trailhead / parking for Butter Beck (550m).,natural water features
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Fairy Hill,nearby_feature,54.4341,-0.8981,NZ715048,private land; fairy hill,"In the centre, where the two dales meet, a small rounded hill sometimes known as Fairy Hill lies halfway between the uplands of Danby Heads and Danby Rigg.",hills
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Old Hellway,nearby_feature,54.4405,-0.9084,NZ708055,corpse road,The latter is crossed by an ancient path known as the Old Hellway that was used to transport corpses over Danby Rigg for burial in the churchyard at Danby. People report sensing the spirits of the dead on this old corpse road.,other
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Hob of Hart Hall,nearby_feature,54.4340,-0.8079,NZ774049,private land; hob site,"The first concerns the Hob of Hart Hall a little fellow, covered in shaggy hair and wearing nothing more than a threadbare tunic, who helped out around the farm at night. When some boys spied on him and, taking pity made him a new tunic the hob was insulted and left, never to return.",other
Lancashire & Yorkshire,19,"Fairy Cross Plain, Fryupdale, Danby",Witch Hill,nearby_feature,54.4110,-0.8587,NZ741023,private land; witch site; viewable from open-access moors,"Realising it was a witch in disguise, he loaded his gun with silver pellets then shot and wounded the hare which took refuge in the cottage of a witch, Awd Maggie. She was found the next day with unexplained wounds. The slopes at the head of Glaisdale became known as Witch Hill.",hills
Lancashire & Yorkshire,20,"Hob Holes, Runswick Bay",Hob Holes,main,54.5277,-0.7425,NZ814154,,"A hob who lived in a sea cave in Runswick Bay was reputed to have healing powers. Children who were afflicted with whooping cough would be brought to the cave by their concerned mothers (their fishermen husbands were far too superstitious) who would chant:
“Hob hole Hob!
My bairn's gettin't kink-cough,
Tak't off, tak't off.” This hob would sometimes lead travellers off the moor into deep pot holes, or offer them the shelter of his cave on stormy nights, only for them to drown when the tide swept back in. The exact location of the hob's cave is unknown but several small caves pepper the cliffs of Runswick Bay. The reputed lair of another type of cave-dwelling hob is further down the Yorkshire coast at Boggle Hole. Just inland from the bay, fairies were said to visit Claymore Well, a deep borehole in the grounds of a farmstead, to do their laundry by night. The sounds of them beating their clothes with wooden sticks could be heard in Runswick Bay over a kilometre away. Not far from Claymore Well is Wade's Stone (see Wade's Causeway), while in the opposite direction, Hinderwell village churchyard is the location of St Hilda's Well, a water source that was summoned up by the saint during a drought and said to cure eye diseases.",caves
Lancashire & Yorkshire,20,"Hob Holes, Runswick Bay",Claymore Well,nearby_feature,54.5219,-0.7362,NZ819148,private land; fairy laundry,"Just inland from the bay, fairies were said to visit Claymore Well, a deep borehole in the grounds of a farmstead, to do their laundry by night. The sounds of them beating their clothes with wooden sticks could be heard in Runswick Bay over a kilometre away.",wells
Lancashire & Yorkshire,20,"Hob Holes, Runswick Bay",St Hilda's Well,nearby_feature,54.5426,-0.7786,NZ791170,holy well,"Not far from Claymore Well is Wade's Stone (see Wade's Causeway), while in the opposite direction, Hinderwell village churchyard is the location of St Hilda's Well, a water source that was summoned up by the saint during a drought and said to cure eye diseases.",wells
Lancashire & Yorkshire,20,"Hob Holes, Runswick Bay",Trailhead Parking,trailhead,54.5325,-0.7505,NZ809159,800m,Trailhead / parking for Hob Holes (800m).,caves
Lancashire & Yorkshire,21,"Hobthrush Hall, Over Silton",Hobthrush Hall,main,54.3342,-1.3095,SE449934,Secret / Secluded,"Hidden away in a thickly wooded hillside bordering the North York Moors, Hobthrush Hall is an almost forgotten cave that was once home to a helpful household spirit. Hob, or Hobthrush as he was known, used to visit a local innkeeper to churn his cream at night in return for a slice of bread and butter. He was reputed to be a very athletic fellow, able to leap from his cave to the top of Carlow Hill over 300m away. Following a scramble up through the trees and undergrowth, natural stone steps provide access to the dark cave entrance. Another hole appears to act as a window, allowing light to penetrate the small chamber. There are various nooks and crannies to explore, some too small for a human that seem to disappear into a mysterious underworld. It's easy to imagine the hob still dwells in one of these tunnels, keeping himself hidden from the world outside. Strange fossils in the rocks add a further air of mystery to this cave that, though a natural phenomenon, still resembles an ancient dwelling. Graffiti from the 18th and 19th centuries that was carved on the rock face near the entrance is still visible – evidence of the cave's former popularity.",caves
Lancashire & Yorkshire,21,"Hobthrush Hall, Over Silton",Carlow Hill,nearby_feature,54.3332,-1.3127,SE447932,private land; hob's leap,"He was reputed to be a very athletic fellow, able to leap from his cave to the top of Carlow Hill over 300m away.",hills
Lancashire & Yorkshire,21,"Hobthrush Hall, Over Silton",Trailhead,trailhead,54.3333,-1.3075,SE451933,200m; no paths at end,Trailhead / parking for Hobthrush Hall (200m).,caves
Lancashire & Yorkshire,22,Hole of Horcum & Blakey Topping,Hole of Horcum (Parking),main,54.3318,-0.6903,SE852937,Parking £,"The vast bowl-shaped valley known as the Hole of Horcum was said to have been dug out by the giant Wade (see Wade's Causeway). He deposited the earth a couple of kilometres to the east forming a hill known as Blakey Topping. This unusual flat-topped hill appears to be an ancient ritual site with the remains of a stone circle at its foot. The trail to Blakey Topping from the Hole of Horcum car park passes along an ancient trackway known as Old Wife's Way. In this version of the story the 'Old Wife' could be Wade's wife, the giantess Bel. In a different version, the Hole of Horcum and Blakey Topping were created when the Devil dug up a clod of earth and threw it after a witch who was fleeing when he came to claim her soul. In both stories the two sites are connected and the Old Wife's Way may provide the link, perhaps recalling an ancient goddess. The nearby Bridestones may retain an association with the Celtic goddess Bride (Bridget). These weirdly shaped and weathered sandstone rocks are rumoured to be a pagan ritual site. The Hole of Horcum itself is just off the A169, with a large car park opposite. There are footpaths down into it or you can walk from the car park around its rim. The 2km trail to Blakey Topping also starts here and passes through a hidden valley with a traditional moorland farm.",wild places
Lancashire & Yorkshire,22,Hole of Horcum & Blakey Topping,Blakey Topping,nearby_feature,54.3323,-0.6593,SE872937,flat-topped hill,He deposited the earth a couple of kilometres to the east forming a hill known as Blakey Topping. This unusual flat-topped hill appears to be an ancient ritual site with the remains of a stone circle at its foot.,hills
Lancashire & Yorkshire,22,Hole of Horcum & Blakey Topping,Blakey Topping stone circle,nearby_feature,54.3286,-0.6608,SE871933,ritual site,This unusual flat-topped hill appears to be an ancient ritual site with the remains of a stone circle at its foot.,stone circles
Lancashire & Yorkshire,22,Hole of Horcum & Blakey Topping,Bridestones,nearby_feature,54.3110,-0.6598,SE872914,sandstone rocks; pagan ritual site,The nearby Bridestones may retain an association with the Celtic goddess Bride (Bridget). These weirdly shaped and weathered sandstone rocks are rumoured to be a pagan ritual site.,natural stones
Lancashire & Yorkshire,22,Hole of Horcum & Blakey Topping,Trailhead (Bridestones),trailhead,54.3025,-0.6527,SE877904,1.2km; £,Trailhead / parking for Bridestones (1.2km).,natural stones
Lancashire & Yorkshire,23,"Mulgrave Woods, Sandsend",Mulgrave Woods,main,54.5005,-0.6704,NZ862125,"Access On Wednesdays, Saturdays & Sundays Only; Closed During May","Stretching several kilometres inland from the coast at Sandsend, Mulgrave Woods was said to be home to a malevolent fairy known as Jeanie o' Biggersdale. This mysterious spirit was ill-disposed towards humans and blamed for any misfortune that occurred in the area. One farmer, emboldened by drink, thought he would rid Mulgrave of her malevolent presence once and for all. He approached her cave where she lived and called out her name but was so horrified when she appeared that he turned and fled with the enraged Jeanie in pursuit. The terrified man remembered that she could not cross running water and urged his horse to leap over the nearest stream. However, as the animal's front legs left the ground Jeanie reached out and struck its hind legs, instantly severing the horse in two. Fortunately for the farmer he was on the front half which continued its leap over the stream before falling dead on the other side. The exact location of Jeanie's abode is uncertain, but some say she lived in a cave called Hob's Hole which was also home to a boggle that liked to jump out and scare people. Passers-by would call:
“Hob-thrust Hob! Where is thou?”
To which the boggle would reply:
“Ah's tying on mah left-fuit shoe;
An' Ah'll be wiv thee … NOO!”
Hob's Hole cave lies somewhere near the ruins of an old overgrown mill house in a gully below Foss Castle (see below). The Old Mill House features in a Victorian novel called Jeanie o'Biggersdale and is the site of a suicide brought about by Jeanie. A large earthen mound known as Foss Castle was reused as an early Norman motte fortification but later abandoned and the more extensive Mulgrave Castle built 700m away. Foss Castle and Mulgrave Castle were reputedly constructed by the giant Wade while his wife Bel built a castle at Pickering. They had only one hammer between them and would throw it between the two sites (see Wade's Causeway). The eerie stone ruins of medieval Mulgrave Castle stand isolated in the centre of the woods, while the remains of a summer house and overgrown paths recall their use as a pleasure garden by the gentry of the Mulgrave estate. More overgrown still is the area around Biggersdale Hole where a waterfall tumbles over a rocky ledge into the evocatively named Wizard's Glen below. This hidden waterfall is seldom visited and has a real air of magic and mystery. Mulgrave Woods, part of the Mulgrave estate, are open to the public on certain days of the week. Numerous footpaths lead through the wooded gullies and to the abandoned castle but expect to go off-trail to uncover the rest of Mulgrave's secrets.",wild places
Lancashire & Yorkshire,23,"Mulgrave Woods, Sandsend",Old Mill House,nearby_feature,54.4938,-0.7185,NZ831117,ruined mill; suicide site,Hob's Hole cave lies somewhere near the ruins of an old overgrown mill house in a gully below Foss Castle (see below). The Old Mill House features in a Victorian novel called Jeanie o'Biggersdale and is the site of a suicide brought about by Jeanie.,other
Lancashire & Yorkshire,23,"Mulgrave Woods, Sandsend",Foss Castle,nearby_feature,54.4943,-0.7174,NZ831117,norman motte,A large earthen mound known as Foss Castle was reused as an early Norman motte fortification but later abandoned and the more extensive Mulgrave Castle built 700m away.,earthworks
Lancashire & Yorkshire,23,"Mulgrave Woods, Sandsend",Trailhead (Foss Castle),trailhead,54.4968,-0.7217,NZ828120,400m,Trailhead / parking for Foss Castle (400m).,earthworks
Lancashire & Yorkshire,23,"Mulgrave Woods, Sandsend",Mulgrave Castle,nearby_feature,54.4935,-0.7056,NZ839116,medieval castle ruins,"The eerie stone ruins of medieval Mulgrave Castle stand isolated in the centre of the woods, while the remains of a summer house and overgrown paths recall their use as a pleasure garden by the gentry of the Mulgrave estate.",other
Lancashire & Yorkshire,23,"Mulgrave Woods, Sandsend",Biggersdale Hole,nearby_feature,54.4897,-0.7056,NZ839112,secret / secluded; no paths at end; waterfall,More overgrown still is the area around Biggersdale Hole where a waterfall tumbles over a rocky ledge into the evocatively named Wizard's Glen below. This hidden waterfall is seldom visited and has a real air of magic and mystery.,natural water features
Lancashire & Yorkshire,24,"Obtrusch Roque, Low Mill, Farndale",Obtrusch Roque,main,54.3410,-0.9842,SE661944,,"A prehistoric stone cairn with the curious name of Obtrusch Roque sits high on a lonely, windswept moor above Farndale and was once home to a mischievous hobgoblin known as Hobthrush. While most hobs are helpful, Hobthrush's antics on his farm caused one local farmer to pack up his home in order to be rid of him. As he trundled off, his cart piled high with all the family's belongings, the farmer's neighbour called out and asked where he was going. “We're flitting”, he replied. “Aye,” came a small voice from the butter churn in the back of the cart, “We're flitting!” Realising he would never be rid of the hob the farmer sighed and turned the cart around, back towards home. The valley of Farndale was also home to another hob, called Elphi, who was celebrated for his kind deeds and big heart. A cookbook dated 1699 records the following ode to Elphi:
“Elphi bandy-legs, bent, an' wide apart,
No one in the dale owns a kinder heart.
Elphi, great-head, greatest ever seen,
No one in this dale owns a brighter een.
Elphi, little chap, thof he were so small,
Were big wi' deeds o' kindness, drink to him one and all.
Him at fails to drain dry, be it mug or glass,
Binnot worth a pescod*, nor a buss* frae onny lass.”
* pescod = peapod, buss = kiss
A stone shrine to Elphi can be found at Rydale Folk Museum ££ in Hutton-le-Hole, along with several other examples of local folk-magic artefacts including a carved medieval 'witch post' in the Stang End cruck house. Said to act as a talisman against witches, these posts are virtually unique to North Yorkshire.",burial chambers
Lancashire & Yorkshire,24,"Obtrusch Roque, Low Mill, Farndale",Rydale Folk Museum,nearby_feature,54.3010,-0.9178,SE705900,££; elphi shrine; witch post,"A stone shrine to Elphi can be found at Rydale Folk Museum in Hutton-le-Hole, along with several other examples of local folk-magic artefacts including a carved medieval 'witch post' in the Stang End cruck house.",other
Lancashire & Yorkshire,24,"Obtrusch Roque, Low Mill, Farndale",Trailhead,trailhead,54.3448,-0.9716,SE669948,1.9km; no paths at end,Trailhead / parking for Obtrusch Roque (1.9km).,burial chambers
Lancashire & Yorkshire,25,Roseberry Topping,Roseberry Topping,main,54.5053,-1.1074,NZ578125,,"Lying just beyond the edge of the North York Moors, this prominent conical hill has a magical spring, now known as Roseberry Well, right on its summit. The water was reputed to cure rheumatism and eye diseases and the well also appears as Odinsburg Spring in a folk tale. Odinsburg (or Othenesburg) was an old name for Roseberry Topping and it's likely that the hill was once associated with the Norse god Odin. In the tale, Oswy, the son of the Saxon king Osmund, was fated to die by drowning on his second birthday so just before the appointed date his mother took him to the summit of Odinsburg, away from any possible floods. However, when she fell asleep in the hermit's cave young Oswy crawled out and drowned in the spring. The cave no longer exists as it was destroyed by quarrying but the spring still trickles out just below the summit. Stunning views are to be had from the hill's conical peak and there are several footpaths crossing it.",hills
Lancashire & Yorkshire,25,Roseberry Topping,Trailhead Parking,trailhead,54.5075,-1.1208,NZ570128,1km; £,Trailhead / parking for Roseberry Topping (1km).,hills
