Name,Description,Lat/Lng,Tags,Region,Listing no
Ruperra Castle (Nr Caerphilly),"Ruperra is not a true castle but a grand house or ‘mock’ castle built in 1626 by Thomas Morgan. It has been damaged by fire twice in its history. The first fire, in 1785 resulted in a rebuild but the second in the early 1940’s proved to be the final blow to a then already declining building. It is an impressive ivy-clad ruin within landscaped gardens just off the Rymney Valley Way, situated on private land but easily visible. The surrounding area is semi-ancient woodland managed by the Craig Ruperra Conservation trust. There are numerous walks around the woods and views as far as the Bristol Chanel on clear days. The building is home to greater and lesser horseshoe bats which has put pay to development of the site. Take the Rymney Valley way footpath from the Hollybush Inn, Draethen.","51.5703, -3.1272","[""Dramatic"", ""UNKNOWN:I"", ""Foraging"", ""Ghosts/haunted"", ""Amazing wildlife"", ""Dangerous""]",South Wales,13
Llansteffan Castle,"The stunning Llansteffan Castle is a 12th-century Norman castle overlooking the Tywi estuary. It is a large spacious ruin, perfect for children to run around, explore and play hide and seek. It was voted the 6th most romantic ruin in the country and the second most romantic ruin in Wales after Carreg Cennen. From the castle there is a lovely half a mile walk to Scott’s Bay. The turning to the castle is off the A40 E of St Clears and W of Carmarthen. 10 minutes/ ½ mile strenuous walk through woodland to the castle.","51.7656, -4.3906","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Foraging""]",South Wales,14
Strata Florida Abbey (Near Pontrhydfendigaid),"The name of this 12th-century Cistercian abbey is a Latin corruption of the evocative Welsh name for the site of the abbey, ‘Ystrad Fflur’, valley of the flowers. The most substantial of all the remains is the large carved doorway, which gives some indication of the great building that once stood here. The site is one of national pride and importance for many reasons: a large yew tree marks the last resting place of the medieval Welsh poet Dafydd ap Gwilym at the abbey. The Brut y Tywysogion, a document chronicling Welsh history from the 7th to the 14th centuries was said to have been written here. Adding to the site’s importance, Llywelyn ap Gruffudd, the last king of Wales, held a council of Welsh princes here where they agreed to name his son as their rightful leader. The promise wasn’t kept for long and the princes continued to battle once the king was dead. From A44 at Ponterwyd, head S on A4120 to Devil’s Bridge. There, take the B4343 S to Pontrhydfendigaid. Through the village, then L to Strata Florida and the abbey.","52.2756, -3.8386","[""Good for picnics"", ""Close to parking"", ""Lovely walk"", ""Dramatic"", ""Foraging"", ""Religious site"", ""English Heritage""]",Mid Wales,1
Cwm Hir Abbey (Near Llandrindod),"Cwm Hir Abbey translates as abbey of the long valley. Monks here led a simple life and along with sheep they farmed fish and improved the land to grow all their own produce. Despite their self-sufficiency they would have not existed in isolation in the community, taking their social responsibilities very seriously. They would have acted as a form of social care, looking after the sick and injured, giving them a warm bed, a meal and medicinal herbs if necessary. The abbey is the disputed resting place of the last king of Wales, Llywelyn ap Gruffudd and a memorial to him lies within the ruins. There are many footpaths criss-crossing this wooded valley including the long distance Glyndwr’s Way, which passes alongside the ruins. Between Newtown and Llandrindod Wells off A483. From Llandrindod Wells head N through Crossgates over A44. Approx 1¼ mile from A44 take L signed Abbey Cwm Hir for 4 miles.","52.3298, -3.3873","[""Good for picnics"", ""Close to parking"", ""Lovely walk"", ""Dramatic"", ""Foraging"", ""Religious site"", ""English Heritage""]",Mid Wales,2
Pont Ceunant Generator,"Between a stream and a wooded, winding road, in the middle of a sheep field, you’ll find the giant stone ruins of Pont Ceunant Generating Station. This was designed and built in 1899 by Italian engineer Bernardino Nogara to provide electrical power for Frongoch Mine. It was the first use of such technology in Mid-Wales and would have used water from the hills above to turn a cupped water wheel, or turbine, within the building to generate electricity. The mine had already been in operation for 150 years when the Belgian company, Société Anonyme Métallurgique bought it up and built the station. Sadly their expense would be short-lived as the mine closed operations, selling all the machinery, in 1903. Bernardino was to return to his native Italy where he landed the lucrative position of secretary of the Vatican Bank. From A44 at Ponterwyd, head S on A4120 to Devil’s Bridge; then S on B4343. In Pont-rhyd-y-groes turn R by grey slate garage/ shop (with antique pumps). Continue for 3 miles past various mining remains. Park at 52.3508, -3.9057 and walk down road to see the ruin across the fence, as it is on private land.","52.3517, -3.9009","[""UNKNOWN:I"", ""Dramatic"", ""Lovely walk""]",Mid Wales,3
"Darren Slate Quarry (Pantperthog, Machynlleth)","Uncut slates lie in rows as if the slate workers had just downed tools and left in the middle of a job. The story has it that if it weren’t for opportunists walking up the hillside and pilfering the slates for their roofs, a lot more would line the hill. There is much to see here, among the mountains with the ascent to the site as an enjoyable part of the whole experience. The old slate workers’ buildings are in a state of decay but surprisingly complete. Take care, as there are abandoned mine workings here. Pantperthog is on the A487. A little S of the village and of the Centre for Alternative Technology, park on R at 52.6219, -3.8480, next to phone box. Head back past bus stops to a turning on R marked by a tree with ribbons on. Walk up forester’s track marked ‘no cars or bikes’ to hairpin bend. A footpath heads off main track through edge of Esgair Forest. Follow path over hill to reach quarry buildings. From the village it’s a 1-2 hour strenuous walk. Buses to Pantperthog from Machynlleth.","52.6326, -3.8890","[""Modern ruin"", ""Lovely walk"", ""Cycle path"", ""Foraging""]",Mid Wales,4
Bronwydd House (Near Aberbanc),"Bronwydd Houyse was built in the Gothic Revival style, which back in the 1850s would have been as fashionable as any modern steel and glass building of today. The house was owned by the Lloyd Baronets of Bronwydd, a benign but wealthy family of landowners. When the 2nd Baronet, Sir Marteine Owen Lloyd died in 1933, the house went to his daughter, who lived only for another four years. On her death, the house and grounds were sold, briefly being a boarding school during the war. The house then fell into ruin and, by 1983, both the roof and floors had fallen in. From Aber-banc head N on B4334. Road veers to R then to L. Take no-through road on L after white farm buildings and a corrugated black barn. Bus 460, Cardigan-Newcastle EmlynCarmarthen passes Aberbanc.","52.0628, -4.4036","[""Dramatic"", ""Lovely walk""]",Mid Wales,5
St Dogmaels Abbey (Near Cardigan),"The Abbey at St Dogmaels was founded by Tironian monks in 1115. This austere monastic sect believed not only in a vow of silence but that all monks in the order should be skilled craftsmen. One has to wonder how the skills were taught and how silent they really were each time they slipped with a hammer and hit their thumb. The traffic can be slow moving in St Dogmaels as ducks, chickens and geese all wander into the road from the nearby millpond. The cafe has a relaxed but efficient atmosphere and I strongly recommend the Welsh cakes. It is a fantastic place to bring children and there are regular plays and community events on at the abbey. Off B4546 at St Dogmaels, 1 mile W of Cardigan. Signposted from St Dogmaels town centre. Park outside the abbey or on roadside up the hill. Bus 407 from Cardigan.","52.0805, -4.6807","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Religious site""]",Mid Wales,6
Castell Y Bere (Near Abergynolwyn),"Castell y Bere was an impressive stronghold built for Welsh princes, in a fantastic defensive position perched on a steep-sided rocky plateau with great views towards Cadr Idris. The castle fell to Edward I in 1283 and has been a ruin for 600 years. The castle is towards the southern boundary of Snowdonia National Park, at the end of a long and winding road, up in the hills overlooking the village of Abergynolwyn. In the village is the excellent Caffi’r Ceunant restaurant and nearby you can see the area in the best possible way by hiring bicycles at Brid Rock cycle hire, Llanegryn, near Tywyn (01654 712193). From the village of Abergynolwyn, B4405, opposite café and community centre, head on road up hill past Railway Inn. After a mile turn R at staggered crossroads, past phone box and down no-through road. Park ½ mile on L. The castle is a 2-3 mins.","52.6582, -3.9713","[""Good for picnics"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""English Heritage""]",Mid Wales,7
Cymer Abbey (Llanelltyd),"The Cistercians at Cymer Abbey, founded in 1198, were rather different to other monks. In this tranquil spot they ran a stud farm breeding horses for the nobility of Gwynedd. It seems unlikely that they became rich from this enterprising sideline but the discovery of a hidden silver plate near the site shows they may have had a little bit to spare. Some of the walls stand up to 20 feet high and there are impressive arches along the aisle. The area is great for walking; the abbey is on the circular route of the well-known three-mile Precipice Walk (walkers usually start from Dolgellau). It takes you up just over a mile to the Llyn Cynwch reservoir, a popular haunt for local fishermen. Join A470 just N of Dolgellau and take signposted R turn before Llanelltyd. Follow signs to Vanner along no-through road, which branches off R to abbey.","52.7583, -3.8962","[""Good for picnics"", ""Modern ruin"", ""Lovely walk"", ""Cycle path"", ""Foraging"", ""Dangerous"", ""Dramatic"", ""Religious site"", ""English Heritage""]",Mid Wales,8
Esgair Hir Mine (Near Talybont),"Arguably nowhere symbolises the bleak, barren beauty of Mid-Wales more than the Esgair Hir Mine. The elements have been at play here and what little does remain is quickly re-joining the Welsh hillside. Any exploration of this area should be carried out with extreme care as there are open shafts all over the site. Along with the shafts it is possible to see the crumbling ruins of an old office block, a crusher house, a barracks and the remains of the school for the miner’s children. Esgair Hir was in operation from the late 17th century following a rich discovery of ore. To boost its attraction to investors, in the 1850s it was renamed Welsh Potosi as at this time the majority of the world’s silver was produced by the famously rich Potosi silver mines in Peru. The mine features in George Borrow’s book ‘Wild Wales’ (published 1862), about his famous walk across Wales. Head S along New Street Talybont, past post office and turn L at White Lion Pub, continue to T-junction and take L at Black Lion pub. Veer to R at post box, take L at yellow grit box and continue for 5 miles. The road forks here, there is little in the way of landmarks other than a few telegraph poles. Take L (east) dirt road and continue for a mile until you see the ruins. Parking at 52.5038 -3.8676. From Esgair Hir walk along the track heading east (passing through the forestry gate) for half a mile to arrive at the mine’s close neighbour Esgair Fraith Mine.","52.5041, -3.8663","[""UNKNOWN:R"", ""UNKNOWN:I"", ""Modern ruin"", ""Lovely walk"", ""Cycle path""]",Mid Wales,9
Hafottyfach Farmhouse,"The farmhouse at Hafottyfach is a substantial ruined complex to the south east of Barmouth, a town with a spectacular location between a mountain range and the sea on the mouth of the River Mawddach in North Wales. If the weather is good it is a perfect area to spend the day, or even a week traversing the many cycle tracks and footpaths in the region. Approx 1 mile from car park at Llynnau Cregennen, Cregennen Lakes, 52.7098, -3.9885. Walk R from car park, then R.","52.7022, -3.9845","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Cycle path"", ""Dangerous""]",Mid Wales,10
Anglesey Barracks (Dinorwic Quarry),"The two rows of roofless slate houses, sprouting ferns and short grasses, blend seamlessly into the green and grey of the Welsh hillside. The ruins are unstaffed and completely open to the public making them a fascinating interactive museum and a fun place to explore. They are situated just up from the National Slate Museum in Llanberis LL55 4TY (serving refreshments) with views across the valley from the tower of nearby Dolbardarn Castle. Most of the 3,000 strong workforce at the Dinorwic slate quarry travelled in from the surrounding area. However, a proportion of the workforce came from further afield, including Anglesey. The two rows of houses known as Anglesey Barracks were built to accommodate them and did so until a visit from a health inspector condemned the buildings in 1948. From the mining museum 53.1216, -4.1161 (free to enter but fee for parking), head back out down the road towards the quarry’s barriers. Take path on L behind power company sign and map. Pass ruined winch, and cross bridge. Keep to the blue path and barracks will be on R near a green sign.","53.1205, -4.1092","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted"", ""UNKNOWN:M"", ""UNKNOWN:I"", ""UNKNOWN:K""]",North Wales,1
Tre’r Ceiri (Near Llanaelhaearn),"On the southern slope of Yr Eifl, a mountain on the north coast of the Llyn peninsula, this is one of the best preserved and most dramatic hillforts in Europe. Many of the houses are near-intact which, considering both the site’s age and exposed position, is remarkable. It is thought that settlement on this remote spot dates from at least the Iron Age (the period from around 800BC to the Roman conquest in AD43) and probably before that. The climb up the hill is well worth it both for the ruins and for the spectacular views of the surrounding area. The name, Tre’r Ceiri, roughly translates as ‘Home of the Giants’. From Llanaelhaearn on the A499 head SW on B4417. After ½ a mile ignore large lay-by on R, park in next smaller one at 52.9707, -4.4155. Follow footpath as it snakes to L and comes in at back of the fort.","52.9744, -4.4243","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging""]",North Wales,2
Cwm Llan Quarry (& Hafod-Y-Llan Mine),"The Watkin Path is a breathtaking four-mile hike up the southern path to the summit of Mount Snowdon. It is littered with ruined buildings from the slate quarrying, copper mining and farming industries. At times the path gets a little tricky, as it fragments into nothing more than a precarious scree trail. The crystal-blue pools, fed by white rushing waterfalls, are worth dipping your toes into if it all gets to much (located at 53.0441, -4.0551). If you are lucky you may get a glimpse of the wild mountain goats that inhabit this area, and in the spring the wooded part of the walk flushes blue with a carpet of bluebells. A selection of the many buildings are near the waterfalls at 53.0478, -4.0579 and 53.0484, -4.0599, further up the hill near the path at 53.0508, -4.0702 and off the path at 53.0508, -4.0729. The YHA hostel at Bryn Gwynant has dorms, twin and single rooms at reasonable prices. There is also camping at the north end of the lake, Llyn Gwynant. The Gwynant Chapel Cafe is a great place to refuel before or after your ascent. From Beddgelert head N, parking is just off A498 past Gwynant Chapel Café (LL55 4NL). From here head S to start of path.","53.0508, -4.0702","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted""]",North Wales,3
Dolwyddelan Castle (Blaenau Ffestiniog),"The castle dates back to the 13th century and is the contested birth place Llywelyn the Great, a notable Welsh prince who’s military campaigns and diplomacy united Wales. The remains consist of two towers; one ruinous and the other more complete, having been restored in the 19th century. It’s a short, steep climb to the castle’s remains but once up the hill the views down the Afon Lledr valley below are stunning. To gain an even better vantage point, climb up to the battlements of the restored tower and imagine yourself as a Welsh Prince preparing to do battle with English troops. No dogs. 1 mile W of Dolwyddelan on A470 (there’s also a train station here). The castle’s car-park is signed on the R. 5-10 mins walk uphill. There is a simple campsite at the farm here and a lake near the car park.","53.0530, -3.9084","[""UNKNOWN:1"", ""English Heritage"", ""Pay to enter""]",North Wales,4
Gwylfa Hiraethog (Plas Pren),"This shooting lodge held claim to two superlatives: it was both the highest inhabited house in Wales and it had the widest views of anywhere in the UK. The ruin has a sinister feel to it and locals have attached all kinds of stories to the site, claiming to have seen glowing skeletons and heard strange noises. The name translates as ‘watch tower’ or perhaps more aptly ‘watch ruin of Denbigh Moors’. Locals know it as Plas Pren after the older wooden structure that once stood here. At time of writing nearby Sportsman’s Arms, once the highest pub in Wales, was closed and for sale. The white building still makes for a good landmark when locating the ruin. Between Betws-y-Coed and Llangollen ¼ E of Pentrefoelas turn off A5 and head N signed Dinbych/Denbigh on A543. Continue for 7 miles and park in Sportsman’s Arms (roughly LL16 5SW). Head up footpath from back of pub grounds, turn off main footpath to track leading to ruin. ½ mile moderate to strenuous walk.","53.1184, -3.5745","[""Lovely walk"", ""Cycle path"", ""Dramatic"", ""Modern ruin"", ""Ghosts/haunted""]",North Wales,5
Dolbadarn Castle (Llanberis),"Dolbadarn seems an archetypal romantic ruin, one of the most beautiful of all Welsh castles. It overlooks the deep waters of Llyn Peris which was formed as the last glaciers retreated. Today access to the tower is restricted but you can still climb up the outside to gain a vantage point over the spectacular surrounding area. The castle is a rare example of a proper Welsh castle rather than one built by English invaders under Edward I. It was constructed in the 13th century by Llywelyn the Great and would have guarded the Llanberis Pass. Head S from Llanberis on A4086 and follow signs.","53.1164, -4.1140","[""Good for picnics"", ""UNKNOWN:I"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Dangerous"", ""UNKNOWN:K""]",North Wales,6
Gwrych Castle (Abergele),"It is not hard to see why Gwrych Castle has inspired such immense local interest. This mass of towers, turrets, battlements and ornate windows sprawls across a wooded hillside. With views stretching out over the Irish sea, Gwrych is a must-see romantic, fairy tale castle. Currently the only access is available through the Trust ,and people wanting tours or wishing to volunteer should contact them via their website gwrychtrust.co.uk. Work began on the castle in 1812 and it took ten years to build; improvements were made right up until the 1870s. The house was used to house Jewish refugees during the Second World War. The castle is accessible via a private road off the A547, W of Aberele, past the Manorafan Farm Touring and Camping site.","53.2832, -3.6089","[""UNKNOWN:,"", ""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path""]",North Wales,7
"Gwaen-Ydog (Farmhouse, Myndd Mechell)","Set between the gentle whir of a wind-farm and low lying heathland hills stands the remote ruin of Gwaen-ydog. This large farmhouse is completely gutted, with balls of ivy pouring from the windows and tree-filled interior. It was once home to Hugh Owen a notable translator of Christian texts into Welsh. From Llanfachraeth, nr Holyhead head NW on A5025 for 5 miles through Llanfaethlu onto Llanrhyddlad. Go past the bus stop and turn R just before a large church on you left. Turn L at next T-junction, R at next 3 forks to find ruin on your R.","53.3667, -4.4562","[""Good for picnics"", ""UNKNOWN:I"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Cycle path""]",North Wales,8
Llys Euryn Mansion (Colwyn Bay),"Llys Euryn Mansion is situated in the centre of Bryn Euryn nature reserve on a hillside overlooking Colwyn Bay. It is a very unusual looking ruin with only two large outer walls remaining along with the large fireplace and chimney. This is a Site of Special Scientific Interest due to the rare limestone grassland which is home to many flowers and butterflies. The grand house of Llys Euryn was built on the site of a much earlier hillfort, Bryn Euryn. Like many grand houses at the time, Llys Euryn had to be fortified as it was built in the 15th century during the turbulent Wars of the Roses. Exit A55 Junction 20 and take the B5115 north to Panrhyn Bay and Llandudno. Cross roundabout then take 2nd L at lights, Rhos Rd. Continue to end to nature reserve. Park on R. Walk up steps from car park, then down RH path past Llyn Euryn Cottage, through kissing gate and down path to R.","53.3060, -3.7526","[""Dramatic"", ""Lovely walk"", ""Dangerous"", ""Ghosts/haunted""]",North Wales,9
Ynys Y Pandy (Slate Mill),"This large three-storey slate-processing plant dominates the local landscape. Its windowless and roofless shell resembles more a textile mill than anything attached to the slate industry. Stone steps lead up to the ruin from the banks of a brook that once served the building. Dating from 1855, it specialised in the production of slate slabs used as flooring and for the farming industry. During peak production in 1860, it was producing more than 2,000 tons of slate every year before closing in 1871. Later the building was used as a centre for the local eisteddfod, a Welsh tradition of song, poetry and dancing. Head W from Porthmadog on A487 through Penmorfa, R signed ‘Hostel, Golan and Woollen Mill’, R past row of cottages to Cwm Ystradllyn, continue straight on the road until you see the ruin.","52.9680, -4.1607","[""Cycle path"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted""]",North Wales,10
Rhosydd Quarry (Tanygrisiau),"The breathtaking scenery and remoteness of this abandoned slate quarry near the Blaenau Ffestiniog railway make it a must-see for those visiting the area. Ruined quarry buildings litter this stunning Welsh hillside and waterfalls feed into the picturesque expanse of the Tanygrisiau Reserviour. To the west a road leads on to the Llyn Stwlan Reservoir. It winds up the hillside with a series of hair-raising hairpin bends and has been voted one of the most dangerous roads in the country! Head through the town of Tanygrisiau, Blaenau Ffestiniog off the A496, and up into a no through road. Park and follow the footpath to the ruins by the side of the road, and walk up the road to the ruins.","52.9966, -3.9905","[""Lovely walk"", ""Cycle path"", ""Dramatic"", ""Modern ruin"", ""Ghosts/haunted""]",North Wales,11
Whitby Abbey (Whitby),"Whitby Abbey is an effortless romantic ruin perched on the North Yorkshire coast. It is a large, managed property, with gift shop, museum, picnic areas and a café. The audio-tours talk through the history of the abbey and various events take place on the site. The current abbey dates from the 13th century and took the place of the much earlier Streonæshalch Abbey, founded by St Hilda in the 7th century. The romantic past of Whitby is a long standing one. During the 7th century a monk by the name of Caedmon, often described as England’s first poet, lived in Streonæshalch Abbey. It is said he was inspired to write following a dream and a memorial to him stands in the churchyard of St Mary’s in Whitby. The novelist Bram Stoker found inspiration for ‘Dracula’ after a visit to Whitby in 1890. The Ditto Restaurant on Skinner Street, Whitby, YO21 3AJ, 01947 601404 caters for vegetarian and coeliac diets. Cheap accommodation at YHA Boggle Hole, YO22 4UQ, 0845 3719504. From the A171 S of Whitby cross bridge over River Esk heading E away from the town. Turn L into Spital Br, R to Whitby Abbey and Youth Hostel. turn onto Green La, after ½ mile turn L to Abbey La, follow to car park. 5-10 mins easy walk.","54.4883, -0.6078","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Religious site"", ""English Heritage"", ""Pay to enter""]",North York Moors & Middlesbrough,1
Rosedale Lime Kilns,"You can still see the vast multi-arched lime kilns in the hillside, along with wash houses and other scattered remains, that once made this area an important part of our industrial past. A mineral railway ran right through the valley taking materials from here up to industrial Teesside. The route of the old railway is popular for walkers and cyclists and makes for easy exploration of the ruins. From Wrelton, W of Pickering on A170, take the road N for Rosedale Abbey. Follow signs for Castleton, then keep R at the fork (Daleside Rd). Near Hill Cottages park on R at 54.3679, -0.9037. Walk up road towards Ebenezer Methodist Church, just before take track R by noticeboard. Follow track then L along old railway line to kilns. 1 mile, 25 mins moderate to difficult walk.","54.3743, -0.9154","[""Dramatic"", ""Foraging"", ""Ghosts/haunted"", ""Modern ruin"", ""Lovely walk""]",North York Moors & Middlesbrough,2
Byland Abbey,"Romantic Romanesque ruin amid stunning Yorkshire moorland. There is a lot more to the Abbey than first appears by the roadside, including a little museum and information boards depicting its history. The early Gothic architecture of the abbey inspired many ecclesiastical buildings in the area including parts of the great York Minster. Excellent walks to be had in the area with summer teas served in the Abbey Inn opposite the ruin (YO61 4BD, 01347 868204). From Thirsk take Sutton Road/A170 E through Hambleton for 9 miles. Take R to Wass, Ampleforth, Coxwold and Byland Abbey. Continue to abbey for 2¼ miles. 31X bus from York.","54.2034, -1.1586","[""Dramatic"", ""Lovely walk"", ""Modern ruin"", ""Cycle path"", ""Religious site"", ""English Heritage"", ""Pay to enter""]",North York Moors & Middlesbrough,3
Ss Castle (Eston Hills),"A superb, almost sinister ruin. This graffiti-covered, mid to late 19th-century concrete fan house was used to ventilate the shafts of the Eston mining complex. Scant remains of the mining complex can be seen throughout the area by following the track that once made up the old railway. The fan house has a large square tower with a series of three crescent moon insets at regular intervals on the outfacing wall along with the characteristic two metal S-shaped wall ties that give it its local name. Behind stand the two large gables between which the Guibal fan, named after its Belgian inventor, would have hung. On a clear day, from the vantage point of the ‘nab’ (the hill), you can look north out over the fast-disappearing industrial landscape of Teesmouth, all the way up to Sunderland. To the south, the contrasting views of the vast Yorkshire moors make Eston Hills a truly unique experience. From Eston take the High St E, cross the roundabout 2nd exit to join the A174 towards Redcar and Saltburn. At the next roundabout take the 4th exit, doubling back onto the A174. ½ mile on your L pull into a large lay-by. Follow path, bear L following edge of golf course. Walk over bridge and immediately drop down steps to the L.15 mins moderate walk.","54.5617, -1.1039","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Dangerous""]",North York Moors & Middlesbrough,4
Rievaulx Abbey (Helmsley),"The Cistercians always seemed to pick stunning locations to place their masterpieces and Rievaulx is no exception. As you head down the steep wooded hills into the valley, and see the ruin towering above the banks of the River Rye, you soon realise why this place has attracted visitors for more than two centuries. The remote location would have been perfect for Rievaulx’s founding monks in the 1130s. During the 12th century it was one of the richest of all the Cistercian Abbeys in England, supporting a population of 140 monks and many lay-brothers. This was to be the high point for Rievaulx, as from the 13th century it was cash-strapped and the numbers of monks and lay-brothers dwindled. Its fortunes rose and fell until the dissolution of the monasteries in the 16th century, when the roof was taken down. A private company took over the monks’ ironworks, turning it into a profitable business. As a large managed ruin it has all the usual facilities, café, toilets, car-parking, shop and museum. Rievaulx makes a good walk from nearby Helmsley about three miles to the east. From Helmsley follow High St to N past Feversham Arms Hotel for 2 miles. Take L to Rievaulx and Abbey.","54.2572, -1.1174","[""Good for picnics"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""English Heritage""]",North York Moors & Middlesbrough,5
Brotton Fan House (Saltburn-By-The Sea),"A very similar structure to the SS Castle, this Guibal fan house stands in a windswept location next to the railway, off a stunning coastal section of the Cleveland Way long distance path (110 miles, Helmsley to Filey). You can crawl in through a tunnel at the back of the building to come out in a large pit in the interior of the building. The large fan mechanism housed here would have drawn up stale air from the mine below pushing it outside by means of centrifugal force. Park in Hunley Hotel golf course car-park (TS12 2FT) and follow the track to the N along the edge of the golf course. From here cross the field to the ruin, 10mins moderate to strenuous walk. Alternatively park in Skinningrove and take the Clevedon Way Path for 1 ½ miles. 20 mins easy walk.","54.5833, -0.9226","[""Dramatic"", ""Lovely walk""]",North York Moors & Middlesbrough,6
Ravenscar Alum Works,"The ruins of Ravenscar Alum Works lie strewn across the hillside, three miles walk from Robin Hood Bay. Although the ruins aren’t very tall, the site is extensive and it is easy to spend an hour or two reading all the different information boards about the works. Alum for the textile industry was produced here from mined alum shale. Urine was an essential ingredient, and Ravenscar would have needed the equivalent of 1,000 people’s yearly urine to complete the process, a demand they met by importing the wee from as far away as Newcastle and London. In Victorian times there was a scheme to turn this dramatic stretch of Yorkshire Coast, overlooking the North Sea, into a tourist rival to Blackpool. However, with steep cliffs and no beach to speak of, few invested in it and the company responsible quickly went bust. A 10-mile stretch of the Cleveland Way long distance footpath runs from Robin Hood Bay in the north to Cloughton in the south, taking in Ravenscar. Look out for the abandoned radar station! Off A171, 8 miles N of Scarborough. Turn off A171 following signs to Staintondale and Ravenscar. After 1½ miles, turn L to Ravenscar and Coastal Centre. Pass ruined Beacon Mill following road as it veers R. Follow to the end, park on road by Ravenscar Visitor Centre (National Trust). Follow footpath past centre to works. 15 mins moderate to difficult walk.","54.4056, -0.5018","[""Good for picnics"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Dangerous""]",North York Moors & Middlesbrough,7
Gisborough Priory (Guisborough),"Gisborough Priory is best visited in the spring when a dusting of spring flowers brightens up this field. Three large arches that once made up the windows to the east end of this Augustinian priory tower into the sky, dwarfing nearby trees. Be sure to have a look at the priory gardens during your visit. Guisborough is off the A171. Priory is on Church St. Car park 500 metres away in Guisborough town centre, disabled parking next to site.","54.5363, -1.0491","[""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Religious site"", ""English Heritage"", ""Pay to enter""]",North York Moors & Middlesbrough,8
"Old Mulgrave (Nr Sandsend, Whitby)","The keep of Old Mulgrave Castle stands raised up on an escarpment, flanked by the old curtain wall. It is set in a clearing about a mile and half though the tranquil woodland of the Mulgrave Estate (access permitted Weds, Sat & Sun only, closed May: mulgrave-estate.co.uk). When the tide is low it is possible to walk the 2-mile stretch of beach from Sandsend to Whitby. The Runcible Spoon café and deli in nearby Hinderwell, TS13 5JH is a friendly place and highly recommended, with a good selection of cakes and lunches. Sandsend is 3 miles N of Whitby on A174. At Sandsend pass the Beach Hotel, turn L to Mulgrave Estate car park or Beach Side car park. From the rear of the estate car park take path past sawmill, for 30-40 mins moderate walk. Number 4 Bus from Whitby.","54.4935, -0.7055","[""Good for picnics"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging""]",North York Moors & Middlesbrough,9
Mount Grace Priory,"A romantic ruin just off the A19, Mount Grace Priory offers a real glimpse into the past with a reconstructed monk’s cell and herb plot. The Cleveland Way passes the woods to the back of the priory. Mount Grace was a Carthusian monastery (or Charterhouse) dating back to around the turn of the 15th century. It is the most complete of all the Carthusian monasteries in the country. Monks here would have led mostly solitary lives and would have been reasonably selfsufficient in food. The 14th-century ruined gatehouse of Whorlton Castle, DL6 3HT near the picturesque village of Swainby is off the A172, four miles north of Mount Grace Priory. The Blacksmith Arms in Swainby serves some of the best food in the area (DL6 3EW, 01642 700303). Off the A19, 9 miles N of Thirsk. Just N of junction with A684, take small road to E signed Mount Grace Priory.","54.3798, -1.3101","[""Good for picnics"", ""Close to parking"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Pay to enter""]",North York Moors & Middlesbrough,10
Top Withens (Haworth),"Many take the pilgrimage from Haworth, home of the Brontë sisters, to the high hill ruin Top Withens, thought to be the inspiration for Emily Brontë’s Wuthering Heights . A seven-mile or so round trip can be taken along the Brontë Way from the car park at Penistone Hill Country Park. The path is easy to navigate, with signs in both English and Japanese! It passes over the Brontë Bridge and past Brontë Waterfalls (beginning to see a theme here?) offering fantastic moorland views throughout. The Elizabethan farmhouse was first used as a dairy farm before its abandonment in the mid to late 19th century. It was briefly taken on as a chicken farm in the 1920s before being left to fall into ruin in the 1930s. In recent years the brickwork has been secured to ensure it has a long lifespan. Park in the car park for Penistone Hill Country Park to the SW of Haworth, off the road between Lower Laith Reservoir and Oxenhope. From here cross the road and follow the footpath past the Brontë Waterfalls to the ruin for 2½ miles, moderate to strenuous walk.","53.8147, -2.0299","[""Lovely walk"", ""Amazing wildlife""]",Brontë Country,1
